provider_name,type_of_care,address,city,state,zip,phone
Weaver Elementary Extended Day Care,Child Care Center,11872 Wembley Road,Los Alamitos,CA,90720,(562) 799-4700
Presbyterian Preschool,Child Care Center,1546 Pacific Ave,Santa Rosa,CA,95404,(707) 542-7396
Gogunska Family Child Care,Family Child Care Home,,Los Angeles,CA,90046,(323) 702-3796
Nguyen Family Child Care,Family Child Care Home,,Reseda,CA,91335,(818) 943-0371
Good Steward Day Care,Child Care Center,9229 Utica Ave #160,Rancho Cucamonga,CA,92730,(909) 948-0016
YMCA-Terrel,Child Care Center,5925 Pearl Ave,San Jose,CA,95136,(408) 351-6465
Vivas-Vogel Family Child Care,Family Child Care Home,,Azusa,CA,91702,(626) 815-8786
Discovery Isle Child Development Center ,Child Care Center,3791 Oceanic Way,Oceanside,CA,92056,(760) 433-3911
Genesis Family Childcare,Family Child Care Home,,Paso Robles,CA,93446,(805) 286-4209
Kathy's Day Care,Family Child Care Home,,Palo Alto,CA,94303,(650) 855-9351
"Falcon, Ysamel",Family Child Care Home,,Fremont,CA,94555,(510) 793-8788
West End YMCA - Chino Branch,Child Care Center,4980 Riverside Dr.,Chino,CA,91710,(909) 590-3583
Camarillo Progressive Montessori School,Child Care Center,4451 E. Las Posas Rd.,Camarillo,CA,93010,(805) 484-1460
"Sandoval, Maria Family Child Care",Family Child Care Home,,San Diego,CA,92154,(619) 662-6003
Mary Star of the Sea Preschool,Child Care Center,717 S. Cabrillo Ave,San Pedro,CA,90731,(310) 833-3541
STAR Education,Child Care Center,7050 Franklin School Rd.,Loomis,CA,95650,(916) 660-0610
Lou & Ed's Day Care,Family Child Care Home,,Santee,CA,92071,(619) 562-0509
Romero Family Child Care,Family Child Care Home,,Downey,CA,90241,(562) 806-1435
Children's Cottage Preschool,Child Care Center,1078 East Ave,Napa,CA,94559,(707) 224-3825
"Parada, Layvanh Family Child Care",Family Child Care Home,,San Diego,CA,92104,(619) 519-4626
Maria Montessori School,Child Care Center,4544 Pocahontas Ave,San Diego,CA,92117,(858) 270-9350
Susie Q's Daycare,Family Child Care Home,,La Mesa,CA,91942,(619) 589-0870
Cynthia's Child Development Home,Family Child Care Home,,San Diego,CA,92124,(858) 539-5497
Eva Rocha,Family Child Care Home,,Salinas,CA,93906,(831) 443-8534
Little School House Inc.,Child Care Center,1281 Edwards Avenue,Santa Rosa,CA,95401,(707) 528-8118
Kids Academy,Family Child Care Home,,San Diego,CA,92117,(858) 737-9388
Franklin Child Development Center,Child Care Center,4006 Hood Franklin Road,Elk Grove,CA,95757,(916) 684-4061
A. Bunger Baby Daycare,Family Child Care Home,,Lincoln,CA,95648,(916) 408-7105
Daisy's Daycare,Family Child Care Home,,Sacramento,CA,95835,(916) 419-4306
Lisa Brown Family Child Care,Family Child Care Home,,Spring Valley,CA,91977,(619) 972-3724
Chavira Family Daycare,Family Child Care Home,,Madera,CA,93637,(559) 675-3700
Happy Honey Bee Kids,Family Child Care Home,,San Diego,CA,92114,(619) 734-5238
Little Angels Child Development Center,Child Care Center,406 I Street,Chula Vista,CA,91910,(619) 621-5695
Bramwell Family Child Care,Family Child Care Home,,Moreno Valley,CA,92551,(951) 488-0095
Leap Into Learning Childcare,Family Child Care Home,,Suisun City,CA,94585,(707) 422-1375
Kidz R Us Daycare,Child Care Center,14215 Tuolumne Rd.,Sonora,CA,95370,(209) 532-9992
Elsa Thrower,Family Child Care Home,,Sacramento,CA,95835,(510) 978-5277
"Carter, Deleshea & Boyd, Mariah FCC",Family Child Care Home,,San Diego,CA,92139,(619) 602-7008
Lil Guys and Gals Childcare,Family Child Care Home,,Lemoore,CA,93245,(559) 423-5825
West Hills Montessori,Child Care Center,24373 Vanowen St,West Hills,CA,91307,(818) 702-0818
Kingston Academy,Child Care Center,6048 Etiwanda Ave,Mira Loma,CA,91752,(951) 681-4182
Brighten Academy Preschool,Child Care Center,1825 Austin Avenue,Clovis,CA,93611,(559) 294-1310
Sherree Rodriguez,Family Child Care Home,,Oceanside,CA,92058,(760) 224-0574
Arrow Montessori School - San Dimas,Child Care Center,818 W. Gladstone St,San Dimas,CA,91773,(909) 599-0025
Prestige Preschool Academy,Child Care Center,3098 Macon Dr.,Sacramento,CA,95835,(916) 285-7700
"Millan, Romualda & Cassandra Family",Family Child Care Home,,El Cajon,CA,92019,(619) 440-6599
Grow Smart Children's Academy,Child Care Center,6271 Jackson Drive,San Diego,CA,92119,(619) 464-0305
Melinda Heights Elementary School,Child Care Center,21011 Rancho Trabuco,Rancho Santa Margarita,CA,92688,(949) 460-2701
Martha Esparza,Family Child Care Home,,Long Beach,CA,90504,(562) 739-3436
Hernandez FCC AKA Little Maeg's Childcare,Family Child Care Home,,Oxnard,CA,93036,(805) 794-9661
"Cordova, Marisela Family Child Care",Family Child Care Home,,Chula Vista,CA,91913,(619) 779-0961
Yuki Minami,Family Child Care Home,,Garden Grove,CA,92841,(714) 638-8391
"A Child's Way, An Early Learning Center",Child Care Center,701 Paloma Ave,Burlingame,CA,94010,(650) 343-2630
Harper Family Child Care,Family Child Care Home,,Perris,CA,92570,(951) 943-2305
Childtime Children's Center (Fresno),Child Care Center,214 N. Clark,Fresno,CA,93701,(559) 445-0216
Ascension Lutheran Preschool,Child Care Center,1142 N. Midway Dr.,Escondido,CA,92027,(760) 747-4276
"Padrick, Dorothea Family Day Care",Family Child Care Home,,San Diego,CA,92114,(619) 262-5360
Julie Burke,Family Child Care Home,,Galt,CA,95632,(209) 744-1319
"Smith, Catherine Family Child Care",Family Child Care Home,,San Diego,CA,92126,(864) 909-1454
"Williams,  Ashley Family Child Care",Family Child Care Home,,San Diego,CA,92124,(229) 291-4131
"Weil, Babette & Sarah Family Child Care",Family Child Care Home,,San Diego,CA,92126,(858) 610-3875
Magallanes Family Child Care,Family Child Care Home,,Moreno Valley,CA,92553,(951) 214-2452
"Sanchez, Martina Family Child Care",Family Child Care Home,,San Diego,CA,92154,(619) 423-2621
Rocio Arango,Child Care Center,3 Jay Court,Pleasanton,CA,94566,(408) 203-1308
"Hudson, Holly Family Child Care",Family Child Care Home,,San Diego,CA,92124,(810) 358-8818
Magic Hours Childrens' Center,Child Care Center,8330 Westmore Rd,San Diego,CA,92126,(858) 271-8383
Little Oaks School,Child Care Center,102 N. Skyline Drive,Thousand Oaks,CA,91361,(805) 495-5513
Merryhill School-Rocklin,Child Care Center,4149 Rocklin Rd,Rockline,CA,95677,(916) 624-4511
"Alvarez, Veronica & Juan Family Child",Family Child Care Home,,Lemon Grove,CA,91945,(619) 825-9926
"Little Blossom Montessori School, Inc.",Child Care Center,2075 Arena Blvd.,Sacramento,CA,95834,(916) 515-0550
Dora Juarez Family Child Care,Family Child Care Home,,San Diego,CA,92115,(619) 265-8241
A Place To Grow Montessori,Child Care Center,3535 S. Akers,Visalia,CA,93277,(559) 627-3535
"Duarte, Paola Family Child Care",Family Child Care Home,,Chula Vista,CA,91913,(619) 421-3909
"Kelly, Debbie Family Day Care",Family Child Care Home,,Spring Valley,CA,91977,(619) 475-9140
"McBath, Audrey Family Child Care",Family Child Care Home,,El Cajon,CA,92021,(619) 956-6777
"Tanguay, Theresa Family Child Care",Family Child Care Home,,Ramona,CA,92065,(760) 787-5703
Dela Cruz Eden Family Childcare,Family Child Care Home,,San Diego,CA,92126,(858) 566-9342
Mills Family Daycare,Family Child Care Home,,San Pedro,CA,90731,(310) 831-0966
Grove Garden 1st Preschool,Child Care Center,8456 Garden Grove Rd,Garden Grove,CA,92844,(714) 537-8900
Torres Family Child Care,Family Child Care Home,,Temecula,CA,92592,(951) 234-9226
Park Village ESS,Child Care Center,7934 Park Village Rd,San Diego,CA,92129,(858) 521-2800
Rainbow Children's Center,Child Care Center,9817 'A' Baseline Rd.,Rancho Cucamonga,CA,91730,(909) 484-5797
Teesha Miller,Family Child Care Home,,Carmichael,CA,95608,(916) 944-0069
Sharon Family Child Care,Family Child Care Home,,El Cajon,CA,92020,(619) 971-1485
North City Preschool,Child Care Center,11717 Poway Rd.,Poway,CA,92064,(858) 748-4678
Price Family Child Care,Family Child Care Home,,San Bernardino,CA,92407,(909) 880-0316
A+ Academics Preschool,Child Care Center,1934 G Street,Modesto,CA,95354,(209) 544-8194
"Gallegos, Maria Family Child Care",Family Child Care Home,,National City,CA,91950,(619) 773-5173
Angelica Lopez,Family Child Care Home,,San Diego,CA,92105,(619) 436-8125
Diego Family Child Care,Family Child Care Home,,Los Angeles,CA,90044,(323) 242-3855
"Christensen, Laura Family Child Care",Family Child Care Home,,San Diego,CA,92117,(858) 336-0519
My Super Sweet Family Child Care,Family Child Care Home,,National City,CA,91950,(619) 274-3322
Christa Ketchum Family Child Care,Family Child Care Home,,Loyalton,CA,96118,(530) 993-0226
Ramirez Family Child Care,Family Child Care Home,,Murrieta,CA,92562,(760) 805-8369
Courtney Parker,Family Child Care Home,,San Diego,CA,92124,(404) 889-2037
Los Alamitos Child Development Ctr-Rossmoor Site,Child Care Center,3272 Shakespeare Drive,Los Alamitos,CA,90720,(562) 799-4700
Early Works Child Development Center,Child Care Center,31765 Temecula Pkwy,Temecula,CA,92592,(951) 694-5132
"Wiley, Cathy Family Child Care",Family Child Care Home,,San Marcos,CA,92069,(760) 744-2782
Cook Family Child Care,Family Child Care Home,,Winchester,CA,92596,(951) 223-3001
Busy Bees Child Development Center ,Child Care Center,561 Third Avenue,Chula Vista,CA,91910,(619) 573-2970
"Shiraishi, Sara Family Child Care",Family Child Care Home,,Chula Vista,CA,91913,(760) 550-0319
American Martial Arts Academy,Child Care Center,1313 E. Los Angeles Ave,Simi Valley,CA,93065,(805) 527-5508
Kimberly Shelton Family Child Care,Family Child Care Home,,Valley Center,CA,92082,(760) 751-9623
Patterson Unified School District After School,Child Care Center,1320 Henley Parkway,Patterson,CA,95363,(209) 892-4770
Mi Casita Daycare,Family Child Care Home,,San Diego,CA,92154,(619) 920-4027
Ever Learing Day Care,Family Child Care Home,,San Diego,CA,92154,(619) 823-8093
Rainbow School,Child Care Center,5689 Hollister Ave Suite C,Goleta,CA,93117,(805) 964-4511
"Sandoval, Linda Family Child Care",Family Child Care Home,,San Diego,CA,92115,(619) 278-9899
YMCA of Superior California,Child Care Center,1300 College St,Woodland,CA,95695,(530) 662-1086
KinderCare Learning Center LLC,Child Care Center,295 S Lexington Dr,Folsom,CA,95630,(916) 983-6169
Athanasia Brown,Family Child Care Home,,Dale City,CA,94015,(650) 755-5508
Poway Unified School District - Willow Grove Elementary School ESS Program,Child Care Center,14727 Via Azul,San Diego,CA,92127,(858) 521-2800
Gonzalez Family Childcare Inc.,Family Child Care Home,,North Hills,CA,91343,(818) 810-5787
Espinoza Family Child Care,Family Child Care Home,,Oxnard,CA,93036,(805) 351-5967
Hortencia Andrade,Family Child Care Home,,Watsonville,CA,95076,(831) 724-1732
Mrs. Devyn's Daycare,Family Child Care Home,,Fallbrook,CA,92028,(760) 521-0736
Napa Valley Montessori Learning Center,Child Care Center,"120 W American Canyon Road, M-11",American Canyon,CA,94503,(707) 647-7178
"Garcia, Yessica Family Child Care",Family Child Care Home,,National City,CA,91950,(619) 433-7597
Bethanie Coggins,Family Child Care Home,,San Diego,CA,92110,(805) 760-2964
Tiny Thinkers School,Child Care Center,15737 Parthenia St.,North Hills,CA,91343,(818) 892-2655
Pauba Valley BASES,Child Care Center,33125 Regina Drive,Temecula,CA,92592,(951) 506-7061
JUMP Preschool Inc,Child Care Center,3327 Kenora Dr.,Spring Valley,CA,91977,(619) 303-1541
Brighton Schools - Natoma Station,Child Care Center,405 Natoma Station Drive,Folsom,CA,95630,(916) 985-2222
St. Luke's Preschool and Nursery,Child Care Center,515 Second St.,Woodland,CA,95695,(530) 402-1607
El Rancho Nursery School,Child Care Center,5636 El Camino Ave,Carmichael,CA,95608,(916) 482-8656
Gina's Bluebird Daycare,Family Child Care Home,,San Diego,CA,92120,(619) 315-1373
Dahlia Taylor Family Day Care,Family Child Care Home,,San Diego,CA,92105,(619) 264-6076
Hanley Family Child Care,Family Child Care Home,,Long Beach,CA,90805,(562) 256-0627
Tender Loving Care,Child Care Center,2324 Parker Avenue,Tracy,CA,95376,(209) 835-9088
"Rose, Sandra",Family Child Care Home,,Placerville,CA,95667,(530) 642-9060
"Richter, Angela Family Child Care",Family Child Care Home,,Spring Valley,CA,91977,(619) 434-2940
Tender Hearts Childcare Center,Child Care Center,2118 Woodland Ave,Modesto,CA,95358,(209) 550-5930
Abby Reinke BASES,Child Care Center,43802 Sunny Meadows Drive,Temecula,CA,92592,(951) 506-7061
Alamos BASES,Child Care Center,38200 Pacific Park Drive,Murrieta,CA,92563,(951) 506-7061
Barnett BASES,Child Care Center,39925 Harveston Drive,Temecula,CA,92591,(951) 506-7061
Crowne Hill BASES,Child Care Center,33530 Old Kent Road,Temecula,CA,92592,(951) 506-7061
French Valley BASES,Child Care Center,36680 Cady Road,Winchester,CA,92596,(951) 506-7061
Nicolas Valley BASES,Child Care Center,39600 North General Kearney,Temecula,CA,92591,(951) 506-7061
Temecula Valley Unified School District- Rancho BASES,Child Care Center,31530 La Serena Way,Temecula,CA,92591,(951) 506-7061
"Noorwala, Rubina Family Child Care",Family Child Care Home,,San Diego,CA,92124,(858) 277-6052
Crown Preschool,Child Care Center,199 6th Street,Coronado,CA,92118,(619) 522-6085
"Passalacqua, Mary Famaily Child Care",Family Child Care Home,,Fallbrook,CA,92028,(760) 731-0400
Kids Adventure Learning Center,Child Care Center,1834 Valencia Dr.,Fullerton,CA,92833,(714) 525-7377
"Hartung, Linda Family Day Care",Family Child Care Home,,Ramona,CA,92065,(760) 789-8570
"Luna, Yvonne Family Child Care",Family Child Care Home,,Chula Vista,CA,91913,(619) 954-0607
South Bay Family YMCA - Enrique ,Child Care Center,1650 Exploration Falls,Chula Vista,CA,91915,(619) 421-9622
Little Red School House,Child Care Center,4601 Fruitvale Ave,Bakersfield,CA,93308,(661) 588-2227
"Brown, Felicia",Family Child Care Home,,Manteca,CA,95337,(209) 824-7971
St. Basil's Preschool,Child Care Center,1225 Tuolumne St.,Vallejo,CA,94591,(707) 642-5966
Yucaipa Christian Preschool,Child Care Center,34968 Ave H,Yucaipa,CA,92399,(909) 797-6814
"Weinman, Moira Family Day Care",Family Child Care Home,,Lemon Grove,CA,91945,(619) 469-4025
"Carpenter, Charlene Family Day Care",Family Child Care Home,,San Diego,CA,92126,(858) 578-2514
Bell Family Child Care,Family Child Care Home,,Murrieta,CA,92563,(858) 442-7523
Phillips Family Child Care,Family Child Care Home,,Menifee,CA,92584,(951) 663-6882
Eagles Nest,Child Care Center,14340 Valley View Avenue,La Mirada,CA,90638,(562) 944-8381
Chilo's Daycare,Family Child Care Home,,South San Francisco,CA,94080,(650) 515-8943
Alvarado Family Child Care,Family Child Care Home,,LOS ANGELES,CA,90011,(323) 233-9364
Kavod Elementary Charter School,Child Care Center,3201 Marathon Drive,San Diego,CA,92123,(858) 227-9450
International Pre-School and Kindergarten,Child Care Center,5935 Winchester St.,San Diego,CA,92139,(619) 479-2410
Rainbow Rising - Westpark,Child Care Center,25 San Carlo,Irvine,CA,92614,(949) 252-1657
TLC Preschool,Child Care Center,11240 Clairemont Mesa Blvd,San Diego,CA,92124,(858) 292-7446
Cornerstone Christian School,Child Care Center,34570 Monte Vista Drive,Wildomar,CA,92595,(951) 674-9381
A Child's Place ,Child Care Center,11223 11th Ave,Hesperia,CA,92345,(760) 949-8498
Shaner Family Childcare,Family Child Care Home,,Lake Elsinore,CA,92530,(951) 582-4879
Poway Unified School District,Child Care Center,11775 Shoal Creek Drive,San Diego,CA,92128,(858) 521-2800
"Clark, Correna Family Child Care",Family Child Care Home,,San Diego,CA,92110,(619) 610-9399
Gina and Me Day Care,Family Child Care Home,,San Jose,CA,95111,(408) 531-7537
Little Ones Childrens Center,Child Care Center,301 Fulton Rd,Santarosa,CA,95401,(707) 578-8363
AB/CD Family Child Care,Family Child Care Home,,Oceanside,CA,92057,(760) 453-7375
Montessori Childrens World,Child Care Center,14209 Edwards St,Westminster,CA,92683,(714) 894-4924
"Jacobson, Joelette",Family Child Care Home,,Colfax,CA,95713,(530) 368-6137
MerryHill School- Calvine Preschool,Child Care Center,9036 Calvine Road,Sacramento,CA,95829,(916) 689-7322
Cordova Community Preschool,Child Care Center,2451 Zinfandel Drive,Rancho Cordova,CA,95670,(916) 635-5086
Play 'N' Learn Preschool,Child Care Center,495-505 Massar Ave,San Jose,CA,95116,(408) 259-5736
KCE Champions LLC @ Arnold Adreani Elementary,Child Care Center,9926 Wildhawk West Drive,Sacrameneto,CA,95829,(916) 405-6094
Happy Lion Day Care Center,Child Care Center,2929 Castro Rd,San Pablo,CA,94806,(510) 734-9119
Intellichildren of San Marcos,Child Care Center,214 W San Marcos Blvd,San Marcos,CA,92069,(760) 471-0221
East County Family YMCA Golden,Child Care Center,7885 Golden Ave,Lemon Grove,CA,91945,(619) 462-9622
Hung's Family Child Care,Family Child Care Home,,Alhambra,CA,91803,(626) 703-4323
Madriaga Family Child Care,Family Child Care Home,,Canopa Park,CA,91304,(818) 348-2976
Tina Family Childcare,Family Child Care Home,,San Diego,CA,92127,(858) 832-1173
Sotelo Family Child Care,Family Child Care Home,,Murrieta,CA,92563,(619) 632-8963
Ashly Henderson,Family Child Care Home,,Elk Grove,CA,95758,(916) 896-5122
Monica's Merry Playground Family Daycare,Family Child Care Home,,Garden Grove,CA,92843,(714) 403-7399
Little Lamb Family Childcare,Family Child Care Home,,Chula Vista,CA,91915,(619) 216-1352
Little Sprouts Family DayCare,Family Child Care Home,,Brentwood,CA,94513,(925) 516-9278
Cloward Family Day Care,Family Child Care Home,,Ramona,CA,92065,(760) 789-1161
Crystale Barajas,Family Child Care Home,,Lincoln,CA,95648,(916) 409-5240
"Williams, Shavonne Family Child Care",Family Child Care Home,,San Diego,CA,92114,(619) 252-6056
Ceniceros Family Child Care,Family Child Care Home,,Moreno Valley,CA,92555,(951) 363-8040
Cross Roads Children's Center,Child Care Center,2372 Erringer Rd.,Simi Valley,CA,93065,(805) 526-2887
Mt. Erie Christian Academy,Child Care Center,504 S 47th St.,San Diego,CA,92113,(619) 263-1914
Little Sprouts Family Childcare,Family Child Care Home,,escondido,CA,92027,(760) 877-0343
Beba's Daycare,Family Child Care Home,,National City,CA,91950,(619) 920-4860
Tiny Toes Childcare,Family Child Care Home,,Murrieta,CA,92562,(951) 970-1031
Dibbell Family Child Care,Family Child Care Home,,Wildomar,CA,92595,(951) 240-2889
Lake Elsinore Unified School District Childcare,Child Care Center,23 Ponte Russo,Lake Elsinore,CA,92532,(951) 253-7055
Discovery Isle Child Development Center,Child Care Center,14521 Ted Williams Parkway,Poway,CA,92064,(858) 748-5600
Shank Family Child Care,Family Child Care Home,,Murrieta,CA,92563,(951) 265-2369
"Fulton, Jamila Family Child Care",Family Child Care Home,,San Diego,CA,92124,(858) 836-1564
Foothill Preschool,Child Care Center,315 East Foothill Boulevard,San Luis Obispo,CA,93405,(805) 543-6973
Day Care Fun 101,Family Child Care Home,,El Cajon,CA,92021,(619) 219-0850
"Whitaker, Leondra Family Child Care",Family Child Care Home,,Chula Vista,CA,91911,(619) 633-6414
Kidz Korner Preschool,Child Care Center,3396 Johnson Ave,San Luis Obispo,CA,93401,(805) 544-5194
Maria Yepez,Family Child Care Home,,Escondido,CA,92029,(760) 489-0124
Sheela Hayat Home Daycare,Family Child Care Home,,Monterey,CA,93940,(831) 649-1038
Auntie Lori's Family Child Care,Family Child Care Home,,Encinitas,CA,92024,(760) 436-9171
Smith Family Child Care,Family Child Care Home,,Poway,CA,92064,(858) 679-1105
"Villa, Ada Family Child Care",Family Child Care Home,,Chula Vista,CA,91913,(619) 985-0003
"Sastoque, Elizabeth & Bonilla, Ana",Family Child Care Home,,San Diego,CA,92126,(858) 525-5837
Foster Family Child Care,Family Child Care Home,,Simi Valley,CA,93063,(805) 522-3172
Cano Family Child Care,Family Child Care Home,,Los Angeles,CA,90016,(323) 394-7861
Alma Martinez,Family Child Care Home,,Winchester,CA,92596,(951) 634-5517
Soto Family Child Care,Family Child Care Home,,Menifee,CA,92584,(951) 679-8182
Kids & Care Preschool & Day Care Center,Child Care Center,9560 I Ave.,Hesperia,CA,92345,(760) 956-5000
La Petite Academy,Child Care Center,19860 Beach Blvd,Huntington Beach,CA,92648,(714) 962-0339
Maria Finete,Family Child Care Home,,San Diego,CA,92117,(858) 274-9990
Sprouting Seeds Child Care,Family Child Care Home,,South San Francisco,CA,94080,(650) 952-3537
Machado Family Child Care Home,Family Child Care Home,,Petaluma,CA,94952,(707) 794-8444
Suaraz Claudia Maria Family Day Care,Family Child Care Home,,San Diego,CA,92124,(858) 571-8590
Idalia Mellado,Family Child Care Home,,Chula Vista,CA,91911,(619) 656-7902
Montessori Country Day II,Child Care Center,2802 Spafford St,Davis,CA,95618,(530) 753-5225
Chayna Bessette,Family Child Care Home,,National City,CA,91950,(760) 610-4255
St Simon,Child Care Center,1840 Grant Road,Los Altos,CA,94024,(650) 968-9952
Sheppard's Flock Day Care,Family Child Care Home,,Spring Valley,CA,91977,(619) 796-5437
Walnut Creek Christian Academy,Child Care Center,2335 Buena Vista Ave,Walnut Creek,CA,94597,(925) 935-1587
Lily Family Child Care,Family Child Care Home,,Lemon Gove,CA,91945,(619) 787-7716
Precious Sprout,Family Child Care Home,,Sacramento,CA,95835,(916) 917-2520
Lashton's Loving Child Care,Family Child Care Home,,San Diego,CA,92123,(858) 255-1090
Ni-Ni's Loving Hands Child Care,Family Child Care Home,,Suisun City,CA,94585,(707) 429-9001
Gloria Hurtado Family Child Care,Family Child Care Home,,Escondido,CA,92026,(760) 741-1656
Adobe Christian Preschool,Child Care Center,2875 Adobe Road,Petaluma,CA,94954,(707) 762-7713
Del Mar Union School District - Ocean Air School ,Child Care Center,11444 Canter Heights Dr.,San Diego,CA,92130,(858) 793-0071
"Chandler, Shawn Family Day Care",Family Child Care Home,,Lakeside,CA,92040,(619) 561-5128
"Juarez, Sandra Family Child Care",Family Child Care Home,,Poway,CA,92064,(619) 850-8328
Sonshine Place Preschool,Child Care Center,19016 Highline Rd,Tehachapi,CA,93561,(661) 822-4375
Voracek Family Daycare,Family Child Care Home,,Lancaster,CA,93536,(661) 940-0458
Trinity Lutheran Preschool/ TLC Preschool,Child Care Center,30470 Pauba Rd,Temecula,CA,92592,(951) 676-1492
Star Lincoln Crossing,Child Care Center,635 Groveland Ln,Lincoln,CA,95648,(916) 409-0797
Brighten Academy Preschool,Child Care Center,2016 Shaw Ave.,Clovis,CA,93611,(559) 299-8100
Strong Foundations Learning Center,Child Care Center,72400 La Canada Way,Thousand Palms,CA,92276,(760) 343-2163
Rosa's Daycare,Family Child Care Home,,Sacramento,CA,95838,(916) 929-6354
Marconi Montessori School,Child Care Center,5736 North Ave,Carmichael,CA,95608,(916) 550-2354
Messy Munchkins Family Childcare,Family Child Care Home,,San Diego,CA,92154,(619) 254-5444
Sanchez Family Day Care,Family Child Care Home,,National City,CA,91950,(619) 799-4885
Poway Unified School District- Midland ESS,Child Care Center,13910 Midland Road,Poway,CA,92064,(858) 521-2800
Susan Sherwood Family Child Care,Family Child Care Home,,Lakeside,CA,92040,(619) 463-5591
Sally A. Guzman,Family Child Care Home,,Huntington Beach,CA,92647,(714) 650-9366
Brenda Cabrera,Child Care Center,2445 Whitmore Ave suite #130,Ceres,CA,95307,(209) 538-3912
Martin Robbie Family Child Care,Family Child Care Home,,San Diego,CA,92126,(858) 566-2899
Garcia Family Child Care,Family Child Care Home,,Oxnard,CA,93030,(805) 487-5070
TVUSD BASES-Red Hawk Elementary,Child Care Center,32045 Camino San Jose,Temecula,CA,92592,(951) 506-7061
TVUSD BASES-Helen Hunt Jackson,Child Care Center,32400 Camino San Dimas,Temecula,CA,92592,(951) 506-7061
Corpus Christi Preschool,Child Care Center,480 Corral Canyon Rd,Bonita,CA,91902,(619) 482-3956
Children of Life Academy,Child Care Center,880 Kuhn Dr,Chula Vista,CA,91914,(619) 656-0131
Happy Munchkins Academy,Family Child Care Home,,San Diego,CA,92154,(360) 929-1430
"Parnell, Priscilla Family Day Care",Family Child Care Home,,San Diego,CA,92139,(619) 470-4815
Helen Vazquez Family Child Care,Family Child Care Home,,Merced,CA,95348,(209) 201-7427
Giant Step Learning Center,Child Care Center,758 St. Clair St,Costa Mesa,CA,92626,(714) 540-1775
Dina's Home Child Care,Family Child Care Home,,San Diego,CA,92115,(619) 885-1191
Cherished Childhood Childcare,Family Child Care Home,,Menifee,CA,92584,(951) 491-1665
Simi Valley Family YMCA - Big Springs,Child Care Center,3401 Big Springs Ave,Simi Valley,CA,93063,(805) 583-5338
Kerman Unified State Preschool,Child Care Center,14658 West F St.,Kerman,CA,93630,(559) 842-4505
Grow Smart Children's Academy- Spring Valley,Child Care Center,8738 Jamacha Blvd.,Spring Valley,CA,91977,(619) 479-7577
Hordagoda Family Child Care,Family Child Care Home,,North Hills,CA,91343,(818) 571-1905
K & K's Family Day Care,Family Child Care Home,,Union City,CA,94587,(510) 962-0086
YMCA Sunshine P/S Starbuck Site,Child Care Center,15747 Starbuck St.,Whittier,CA,90603,(562) 943-7241
Project SAFE- Pepper Drive,Child Care Center,1935 Marlinda Way,El Cajon,CA,92021,(619) 258-2369
Decker Laci Family Child Care,Family Child Care Home,,San Diego,CA,92110,(504) 701-9961
"Martinez, Rowena Family Day Care Home",Family Child Care Home,,Escondido,CA,92027,(760) 877-7499
Gardena Christian Academy,Child Care Center,16311 South Western Ave,Gardena,CA,90247,(310) 527-0348
Mission Valley YMCA,Child Care Center,1871 Illion St.,San Diego,CA,92110,(619) 298-3576
My Little Koalas Family Childcare,Family Child Care Home,,Chula Vista,CA,91910,(619) 421-4996
The McBride Family Daycare,Family Child Care Home,,Winchester,CA,92596,(951) 852-2723
Hutchison Child Development Center,Child Care Center,1055 Extension Center Dr.,Davis,CA,95616,(530) 752-3455
"Manna's Martial Arts, Inc",Child Care Center,12285 World Trade Dr. Suite B,San Diego,CA,92128,(858) 487-6470
"Rosas, Maria de Lourdes Family Child Care",Family Child Care Home,,San Diego,CA,92154,(619) 804-2199
Tutor Time Child Care,Child Care Center,1000 County Square Drive,Ventura,CA,93003,(805) 658-1230
Prestige Preschool Academy,Child Care Center,1800 Eureka Road,Roseville,CA,95661,(916) 783-7700
Tamara Hauser Family Day Care,Family Child Care Home,,El Cajon,CA,92020,(619) 593-1269
Oak Middle School Extended Day Care Center,Child Care Center,10821 Oak Street,Los Alamitos,CA,90720,(562) 799-4700
North Valley Family YMCA at Haskell,Child Care Center,15850 Tulsa St.,Granada Hills,CA,91344,(818) 368-3231
Helping Hands,Family Child Care Home,,Temecula,CA,92592,(760) 473-7456
Mt Erie Trolley Preschool,Child Care Center,280 47th St.,San Diego,CA,92102,(619) 262-4747
Mt. Erie Academy Preschool,Child Care Center,531 S. 47th St.,San Diego,CA,92113,(619) 262-6069
Monterey Ridge Preschool,Child Care Center,17117 4S Ranch Pkwy,San Diego,CA,92127,(858) 521-2846
Sunshine Family Day Care,Family Child Care Home,,Antioch,CA,94531,(925) 238-5861
Sacred Heart Academy Preschool,Child Care Center,4895 Saratoga Ave,San Diego,CA,92107,(619) 222-7252
"Zieske, Michelle Family Child Care",Family Child Care Home,,Spring Valley,CA,91977,(619) 905-5526
Little Sprouts Daycare,Family Child Care Home,,San Diego,CA,92114,(619) 415-1867
Immanuel Day School,Child Care Center,28355 E. Baseline,Highland,CA,92346,(909) 862-6641
"Torres, Miriam Family Childcare",Family Child Care Home,,Chula Vista,CA,91913,(619) 905-3920
Leslie's Daycare,Family Child Care Home,,Escondido,CA,92025,(619) 243-9479
Ratliff Day Care,Family Child Care Home,,Escondido,CA,92027,(760) 518-2995
